city_fips,city_name,st,cty_fips,rucc,cz,pop_2010
4268096,Sayre,Pennsylvania,42015,6,358,5587
4268104,Scalp Level,Pennsylvania,42021,3,420,778
4268312,Schuylkill Haven,Pennsylvania,42107,4,231,5437
4268432,Scottdale,Pennsylvania,42129,1,203,4384
4269000,Scranton,Pennsylvania,42069,2,309,76089
4269216,Selinsgrove,Pennsylvania,42109,7,113,5654
4269248,Sellersville,Pennsylvania,42017,1,316,4249
4269376,Sewickley,Pennsylvania,42003,1,203,3827
4269600,Shamokin,Pennsylvania,42097,4,113,7374
4269720,Sharon,Pennsylvania,42085,2,296,14038
4269752,Sharon Hill,Pennsylvania,42045,1,316,5697
4269776,Sharpsburg,Pennsylvania,42003,1,203,3446
4269800,Sharpsville,Pennsylvania,42085,2,296,4415
4270056,Shenandoah,Pennsylvania,42107,4,231,5071
4270224,Shickshinny,Pennsylvania,42079,2,309,838
4270248,Shillington,Pennsylvania,42011,2,231,5273
4270304,Shinglehouse,Pennsylvania,42105,9,524,1127
4270352,Shippensburg,Pennsylvania,42041,2,251,5492
4270464,Shoemakersville,Pennsylvania,42011,2,231,1378
4270744,Silverdale,Pennsylvania,42017,1,316,871
4270880,Sinking Spring,Pennsylvania,42011,2,231,4008
4271144,Slatington,Pennsylvania,42077,2,231,4232
4271184,Slippery Rock,Pennsylvania,42019,1,203,3625
4271248,Smethport,Pennsylvania,42083,7,524,1655
4271776,Somerset,Pennsylvania,42111,4,420,6277
4271856,Souderton,Pennsylvania,42091,1,316,6618
4272072,South Coatesville,Pennsylvania,42029,1,316,1303
4272080,South Connellsville,Pennsylvania,42051,1,203,1970
4272168,South Fork,Pennsylvania,42021,3,420,928
4272192,South Greensburg,Pennsylvania,42129,1,203,2117
4272592,South Waverly,Pennsylvania,42015,6,358,1027
4272648,South Williamsport,Pennsylvania,42081,3,358,6379
4272344,Southmont,Pennsylvania,42021,3,420,2284
4272616,Southwest Greensburg,Pennsylvania,42129,1,203,2155
4272920,Spring City,Pennsylvania,42029,1,316,3323
4273192,Spring Grove,Pennsylvania,42133,2,251,2167
4272960,Springdale,Pennsylvania,42003,1,203,3405
4267224,St. Clair,Pennsylvania,42107,4,231,3004
4267304,St. Lawrence,Pennsylvania,42011,2,231,1809
4267344,St. Marys,Pennsylvania,42047,7,524,13070
4273808,State College,Pennsylvania,42027,3,565,42034
4273888,Steelton,Pennsylvania,42043,2,251,5990
4274288,Stoneboro,Pennsylvania,42085,2,296,1051
4274712,Strasburg,Pennsylvania,42071,2,251,2809
4274888,Stroudsburg,Pennsylvania,42089,3,309,5567
4275072,Sugar Notch,Pennsylvania,42079,2,309,989
4275248,Summit Hill,Pennsylvania,42025,2,231,3034
4275304,Sunbury,Pennsylvania,42097,4,113,9905
4275568,Susquehanna Depot,Pennsylvania,42115,6,169,1643
4275648,Swarthmore,Pennsylvania,42045,1,316,6194
4275816,Swissvale,Pennsylvania,42003,1,203,8983
4275832,Swoyersville,Pennsylvania,42079,2,309,5062
4275888,Sykesville,Pennsylvania,42065,7,332,1157
4276032,Tamaqua,Pennsylvania,42107,4,231,7107
4276104,Tarentum,Pennsylvania,42003,1,203,4530
4276184,Taylor,Pennsylvania,42069,2,309,6263
4276304,Telford,Pennsylvania,42017,1,316,4872
4276648,Throop,Pennsylvania,42069,2,309,4088
4276904,Titusville,Pennsylvania,42039,4,215,5601
4277104,Topton,Pennsylvania,42011,2,231,2069
4277168,Towanda,Pennsylvania,42015,6,358,2919
4277184,Tower City,Pennsylvania,42107,4,231,1346
4277272,Trafford,Pennsylvania,42129,1,203,3174
4277288,Trainer,Pennsylvania,42045,1,316,1828
4277392,Tremont,Pennsylvania,42107,4,231,1752
4277584,Troy,Pennsylvania,42015,6,358,1354
4277784,Tunkhannock,Pennsylvania,42131,2,309,1836
4277912,Turtle Creek,Pennsylvania,42003,1,203,5349
4278168,Tyrone,Pennsylvania,42013,3,420,5477
4278448,Union City,Pennsylvania,42049,2,215,3320
4278528,Uniontown,Pennsylvania,42051,1,203,10372
4278712,Upland,Pennsylvania,42045,1,316,3239
4279776,Vandergrift,Pennsylvania,42129,1,203,5205
4279792,Vandling,Pennsylvania,42069,2,309,751
4280032,Verona,Pennsylvania,42003,1,203,2474
4280040,Versailles,Pennsylvania,42003,1,203,1515
4280800,Walnutport,Pennsylvania,42077,2,231,2070
4281000,Warren,Pennsylvania,42123,6,215,9710
4281328,Washington,Pennsylvania,42125,1,203,13663
4281616,Watsontown,Pennsylvania,42097,4,113,2351
4281712,Waymart,Pennsylvania,42127,6,309,1341
4281824,Waynesboro,Pennsylvania,42055,3,418,10568
4281832,Waynesburg,Pennsylvania,42059,6,136,4176
4281856,Weatherly,Pennsylvania,42025,2,231,2525
4282160,Wellsboro,Pennsylvania,42117,6,431,3263
4282296,Wernersville,Pennsylvania,42011,2,231,2494
4282344,Wesleyville,Pennsylvania,42049,2,215,3341
